review_id,business_id,stars,useful,text,results
g7rzCk-RcH4Mexxrw-yPzA,fBCv5Euudl9VieR870gwNg,5,54,"I'm giving five not just because they have Monday nite special $5 martinis.  Great place to chill with friends and try a ton of different martinis. I can't believe the selection they have.  Everyone who works so friendly","[{""_id"":{""$oid"":""63540c1ef54dc13e8c0e3253""},""stars"":""4"",""categories"":""Food, Beer, Wine & Spirits, Nightlife, Bartenders, Lounges, Event Planning & Services, Restaurants, Bars, American (New)"",""business_id"":""fBCv5Euudl9VieR870gwNg"",""name"":""Absolutli Goosed""}]"
yf-Wyt5qEsMVLBOixisskQ,GBTPC53ZrG1ZBY3DT8Mbcw,5,68,"Wow!! I found myself talking about this place all day it's that good!

Stopped in for breakfast.  We received excellent service, coffee was refilled frequently, our order was taken promptly and the food was brought out in a timely manner.

The food was amazing!

Order:

Southern breakfast $15 - 2 eggs, Allan Benton's bacon, housemade andouille sausage, buttermilk biscuit, grits

Side of fruit & berries $6

French press $3.5 (Santa Lucia coffee), free refills.

The coffee tasted great.  

The fruit was fresh and cut into nice size pieces.  It included watermelon; blueberries, honeydew, strawberries, and cantaloupe

The meal was so amazing.  The bacon and the sausage smelled so wonderful, and had a Smokey taste that was out of this world.  The bacon was perfectly crispy, and the sausage was cooked perfectly as well.  It had a bit of spicy to it but was excellent.  The eggs were scrambled and fluffy.  The grits were made with mascarpone and were oh so wonderful. The biscuit was tasty and served with a side of whipped butter and strawberry preserves.

The meal was perfect, service was excellent, and we really enjoyed our visit.

I highly recommend eating here often :)

** high chairs = yes
** kids menu = no","[{""_id"":{""$oid"":""63540c1af54dc13e8c0df913""},""stars"":""4"",""categories"":""German, Restaurants, Seafood, Cocktail Bars, French, Brasseries, American (New), Nightlife, Bars, Cajun/Creole, Breakfast & Brunch"",""business_id"":""GBTPC53ZrG1ZBY3DT8Mbcw"",""name"":""Luke""}]"
FdEIJb8X6kWHHNMUeK3Tiw,CA5BOxKRDPGJgdUQ8OUOpw,5,74,"Incredible dining experience. Everything we ordered was worthy of the clean plate club. My husband ordered the pepperoni pizza and I had the chefs special which was freshly made spiral pasta with a short rib bolognese. Excellent flavors and textures all around. I also sampled my friend's cocktail and they were all tasty and refreshing!

Come to celebrate a big event or just treat yourself! They do happy hour and reverse happy hour. Lovely lovely restaurant!","[{""_id"":{""$oid"":""63540c1cf54dc13e8c0e2160""},""stars"":""4"",""categories"":""Grocery, Burgers, Food, Local Flavor, Restaurants, Salad, American (Traditional), Nightlife, American (New), Bars, Sandwiches, Breakfast & Brunch"",""business_id"":""CA5BOxKRDPGJgdUQ8OUOpw"",""name"":""Maynards""}]"
Hi1ZYFHB3FHrwCUsIfhDUQ,y8R6_RZsBO-b__bJaQjuaw,5,66,"I'm not sure how they pack so many flavors into a thin coating of pastel icing, but Factory Donuts knows their secrets and does a great job keeping their signature roundies beautiful and sweetly refreshing. How will we Newtownians ever leave home now that these pristine creations are living among us? 

When you get to select the combination flavors you want, watch freshly baked round white cakes exit the oven and begin their short journey on the conveyor belt where multiple workers customize them as requested and then box them in attractive cardboard, you are experiencing tantalizing delayed gratification until you get to your car and can break open the box and take that orgiastic first bite. 

YEUWEEE! Instant sugar rush accented with both loud and subtle flavors. 

Strawberry Lemonade, Blueberry Bake, French Toast, Bananas Foster...you get the picture. They taste even better than your imagination. And the underlying donut cake is a strong platform; mildly vanilla light white that taste good in their own right. 

Certainly not inexpensive compared to other shops, but a perfect indulgence when you want to treat yourself well. 

Bet you can't eat just one!","[{""_id"":{""$oid"":""63540c1cf54dc13e8c0e1e12""},""stars"":""4"",""categories"":""Breakfast & Brunch, Coffee & Tea, Restaurants, Donuts, Food"",""business_id"":""y8R6_RZsBO-b__bJaQjuaw"",""name"":""Factory Donuts""}]"
rsbAquHp7zseJxNRs_pBFw,dYYkzkiAQoOtRjdR0kcspw,5,54,"If I lived in Nashville, I'd be here weekly. The food, drinks, service, & ambiance make this 2015 distillery a 5-star establishment. And if it's a tour of the distillery you want, reserve your spot today! 

Open 11 AM - 10 PM Monday thru Saturday, & 11 AM till 8 PM on Sundays, live music is scheduled every Friday evening then again on Sundays mid-day. 

You can enjoy a $13 Sampler Flight; it includes 5 tasters of any draft beer. Currently, there are 17 beers on tap. There's also an online store for Brew Works merchandise (w/ merchandise also sold on site, including gift cards). Every Sunday, $1 from every pint sold is donated to a local charity or nonprofit. (The December recipient is The Nashville Food Project.)

Executive Chef Alex Liebow is responsible for the ""craft beer-inspired food menu."" Private events are held at the distillery.

The 6-beer ""Beer Burger"" was exceptional! And  the Nashville Hot Chicken Sandwich was also delicious, although you may want to ask for more heat if you are keen on spice. Unlike some chefs @ other eateries, our chef today was kind enough to split our entrees for us before they were brought to our table-- we appreciated it. The $12 Mint Julep was good, but costly. Our best edible, though, was the side salad-- Cesar Salad made w/ Baby Kale. Truly a PHENOMENAL tasting salad! 

Pete E was a very friendly server, & twice management took the time to stop by our table to converse. Loved the customer attention! 

This distillery offers a small first floor corner stage for live music, oak-barrel tables, two floors of dining, a front raised open patio w/ infrared heaters, a second floor open patio (roped off today), a bar on the second floor w/ an overview of the actual distillery, & a closeup of the distillery as patrons make their way to the back restrooms (where only one diner may enter & exit @ a time-- see pic). 

This aestetically pleasing establishment, w/ its excellent beers & delicious handhelds, is a great place to unwind. And the second floor dining area would be a perfect place for a birthday celebration or other type of gathering-- see pic. 

You'll find no paper menus here & even the receipts are to be scanned. Curbside pickup & no contact delivery are offered services. 

Quite impressed w/ this distillery & eatery. Located in the downtown Nashville area, this would easily become my hangout if I resided in the area.","[{""_id"":{""$oid"":""63540c1ef54dc13e8c0e3092""},""stars"":""4.5"",""categories"":""Breweries, Venues & Event Spaces, Beer Bar, Food, Pubs, Tours, Nightlife, Restaurants, Event Planning & Services, Hotels & Travel, Bars, Beer Tours, Arts & Entertainment, American (Traditional), Gastropubs, Music Venues, American (New)"",""business_id"":""dYYkzkiAQoOtRjdR0kcspw"",""name"":""Tennessee Brew Works""}]"
DXGmIW_JfH7Fxensz6zUeQ,bbEXAEFr4RYHLlZ-HFssTA,5,56,"I'm an big fan of The Habit. I decided to go out of my area and go to this original Habit. In case you didn't know, this is the original location which is located on Hollister Ave in the Goleta section of Santa Barbara, California. Unlike any other Habit locations that I've ever been to, this one is all outdoor seating. 

For lunch today, my fun time in Santa Barbara is never completed without the Santa Barbara Char which is known for. It's quite popular in SB. That's what I ordered, and always be my kind of burger. Oh, I got some fries too, just for the heck of it. It's so good, and for an good price, and way better than Five Guys... and those other Five Guys (Burger King, McDonald's, Carl's Jr, Jack in the Box, and Wendy's). Can't beat The Habit!

For parking, there's parking in the back, but it's kinda iffy though. And there's also street side parking. 

Service here was great.

Overall.... When I ever come to SB again, I'll make sure to eat here again for lunch. 5 stars!!! You guys ROCK!!!! Those other guys at Five Guys, and the other Five Guys suck!!!","[{""_id"":{""$oid"":""63540c1bf54dc13e8c0e0e22""},""stars"":""4"",""categories"":""Fast Food, Burgers, Restaurants"",""business_id"":""bbEXAEFr4RYHLlZ-HFssTA"",""name"":""The Original Habit Burger Grill""}]"
2L3vbvUqBpPnMNd8y20GdA,g5ogvPhw3PSobtaZFkdEXg,5,79,"Walking down the street to this place was spectacular, you get to enjoy the view of New Orleans at its finest, on Magazine. With that being said, if you're lucky you'll be able to snag some free parking, but besides that, a majority of the parking is pay to park. 

But anyways, the sign's small, but noticeable enough to anyone who actually pays a bit of attention! Once I walked in, I was greeted by the cashier and offered a vanilla latte that was accidentally made, because why not? While I was sipping on the latte, I started to peer into the decadent case with numerous cupcakes available for your choosing. 

I always ask one simple question with regards to the menu in any place I visit:

""What would YOU recommend?"" 

It's a question I love, and the cashier at Bittersweet Confections immediately recommended the wedding cake cupcake. So, I got one of those, and another of the chocolate cupcake with vanilla bean icing. So let's get down to the taste test!

Wedding Cupcake:
(Visual 5/5, Flavor 4.5/5)
Edible glitter I guess it was? The entire top of the cupcake sparkled with a gorgeous appearance that proves hard to resist. The piping was similar to that of a rose on top of the base layer accompanied by silver sparkling sprinkles. The golden base retained its moisture regardless of the fact that I decided to bring home the cupcake to share with my parents. Keep in mind they live about an hour and a half away. 

The icing was delicious, and the almond flavor coupled with almond buttercream definitely enhanced the experience!

Chocolate Cupcake with Vanilla Bean Icing:
(Visual 5/5, Flavor 5/5)
If anything, my parents actually loved this flavor the most! The top of the icing was layered with what seemed to be golden edible glitter! The chocolate base was delicate, and the vanilla bean in the icing was much more evident than the almond in the wedding cake! 

One of the things that I can appreciate about a business is care, especially care with regards to their product. The consistency of both cupcakes I had were amazing, and you could tell just by looking through the clear case encasing the cupcakes that the employees also acknowledge persistency. 

If you're ever walking through New Orleans, be sure to stop by, they also offer free Wi-Fi with plenty of tables inside! :)","[{""_id"":{""$oid"":""63540c1ef54dc13e8c0e340f""},""stars"":""4.5"",""categories"":""Cupcakes, Caterers, Food, Chocolatiers & Shops, Bakeries, Specialty Food, Breakfast & Brunch, Shopping, Desserts, Restaurants, Event Planning & Services"",""business_id"":""g5ogvPhw3PSobtaZFkdEXg"",""name"":""Bittersweet Confections""}]"
7zBIONRSNisjVUc2LKM3Xw,8uF-bhJFgT4Tn6DTb27viA,5,61,"Exposed brick

Beer on tap

Doughnuts 

Cold Brew Coffee

T-shirts stuffed inside mason jars, Jelly, Pickles & Jalapeños for retail

Oysters

Shrimp Rangoon 

BLT

Booth & bar seating 

Awesomely hip & helpful employees

...are just a handful of the extraordinary things District has to offer.

I couldn't help but try the Special Donut-la-mode which was a concoction consisting of a raised (unglazed) District donut sliced in half layered with lavender honey ice cream, graham cookie crumbled inside, the donut top replaced and drizzled with a mint sugar to form a donut ice sandwich supreme thingie! Taste so good I felt bad about it. I washed it down with their cold brew coffee and was ready for a nap. 

If you're in the Garden District or not; it's imperative that you make it by this spot before leaving NOLA. You'll thank me later.

~Christy","[{""_id"":{""$oid"":""63540c1df54dc13e8c0e2d54""},""stars"":""4.5"",""categories"":""Food, Donuts, Burgers, American (Traditional), Coffee & Tea, Restaurants"",""business_id"":""8uF-bhJFgT4Tn6DTb27viA"",""name"":""District Donuts Sliders Brew""}]"
R2TBGyyDaCq0LwWsjiElYA,vUrTGX_7HxqeoQ_6QCVz6g,5,142,"The best food-related thing that happened to me in 2019 was that when I tried to book dinner at Philadelphia's award-winning Zahav Restaurant, the place was unable to accommodate my request.

My dining companion, a local Philadelphian, suggested that we try Suraya, a Lebanese restaurant well-regarded by Philly's food press. Though I was skeptical of Suraya's newness and trendy popularity, I am a sucker for good Lebanese cooking, so I booked a reservation.

As a result, I enjoyed the best meal I've eaten in years. Thanks, Zahav.

[n.b. I'm about to sound ensorceled by Suraya's charms, so to maintain some credibility, here's my single complaint: Suraya's cardamom-scented kouign-amann was good, but not as good as one I had earlier that day at ICI Macarons & Cafe. That's it. That's all I've got.]

**********
Our meal began at Suraya's tidy bar, where, on the recommendation of our barman, Jesse, we ordered Old-Fashioneds made with Sazerac Rye. Mine was the smoothest and most elegant Old-Fashioned I've ever tasted. Jesse is a boss.

My buddy and I had arrived with a plan in mind. The flexibility of Suraya's tasting menu and the range of choices it offered appealed to us, and we'd already made our selections.

But then we were shown to our table, a perch set slightly above the main floor that provided a view of the open kitchen, where a wood-burning oven was cooking the dinner I didn't know I wanted.

As she took our order, our server, Nena, asked if I'd like the special: slow-roasted young goat with stewed chick peas, Swiss chard, garlic and cilantro, finished with crispy shallots, lemon yogurt and goat jus.

Are you kidding me?

Does a stranded man long for his lover's embrace? Do birds enjoy a light thermal lift as they cross the sea? And, speaking of birds, do Eagles fans revel as Tom Brady slips into aged decrepitude?

The answers, of course, are ""yes,"" ""yes,""  and ""Hell, yes!"" 

I thanked Nena and asked, ""May I please have the goat as a part of the tasting menu?"" She said, ""Sure,"" then left for the kitchen.

Soon, Nena brought our mezza, then these things happened:

- Substantial but light and slightly lemony hummus that reminded me of the hummus my Teta made by hand, fifty years ago

- Baba ganoush, whose charred eggplant was seasoned with tehina, lemon, garlic and a special treat: sweet and smokey urfa biber chili

- Muhammara, a smooth spread of roasted red pepper and pulverized walnuts blended with chili and cumin 'til it was dense and rich, like pesto, but spicier and more appetizing 

- Labneh, an Arab dairy respite from smoke and spice, a purpose served in other cuisines by lassi, tzatziki and kefir
 
- Tabouli, a usual hearty and cooling salad of parsley, cucumber, tomato, scallion and mint, made unusual by a tart drop of pomegranate molasses

Nena, a skilled and personable server, was unstoppable, as was the mezza, which also included: fried kibbeh (beef and bulgur ""dumplings"" stuffed with raisins & pine nuts); fattoush (another salad, dressed with lemon-pomegranate vinaigrette); and baskets of fresh-baked Arab bread or ""khubz"" that was just-chewy, tender and good enough to eat on its own, all night long.

**********
Here's how to eat at Suraya: bite, savor, look around, order more, take a different bite, chat, sip, then do it all again.

Dining at a Lebanese table is a creative endeavor that requires one to engage; ""What should I taste next? How would this taste if combined with that?"" We're also asked to appreciate the art on the plate; not gratuitous ""look-what-I-can-do"" decoration, but actual food, placed in such a way that the eater is enticed not to gush and take photos, but to eat.

By now, seven stellar dishes into the evening, I'd abandoned my usual pessimistic expectations. I was persuaded to trust Suraya's chef and his cooks to respectfully interpret recipes handed down by the owners' grandmother - the eponymous Suraya - and developed in consultation with her daughter, Maude.

It was clear that they weren't trying to improve (or, despicably, to ""reimagine"") Suraya's food in some Millennial way, but were instead doing as they'd been taught, then ever-so-slightly tweaking, using best-quality and authentic ingredients that took their food from what one might find at home to dishes one might find in the best hotels along Beirut's Corniche.

**********
For his main course, or ""mashawi"" - a rough equivalent to the Italian ""secondo"" - my friend ordered kawarma - Suraya's grilled and slow-roasted lamb, which was rubbed with ""baharat,"" a mixture of black pepper, allspice, cardamom and other savory spices.

I tasted his meal, which was delectable. Then I savored my own fork-tender, succulent, almost buttery portion of goat ribs and loin. I'm embarrassed to say that I gloated as I announced that my plate won the evening.

Finally, as a bonus, Suraya only offers roasted goat every few weeks - ten orders per night - and by coming across it when I did, I lucked out. 

So really; thanks again, Zahav.","[{""_id"":{""$oid"":""63540c1ef54dc13e8c0e3417""},""stars"":""4.5"",""categories"":""Active Life, Beer Gardens, Grocery, Middle Eastern, Specialty Food, American (New), Parks, Cafes, Food, Nightlife, Restaurants, Coffee & Tea, Lebanese"",""business_id"":""vUrTGX_7HxqeoQ_6QCVz6g"",""name"":""Suraya""}]"
h2eYPvmbs286mpQiwcP2qQ,hTyJhpH7Bl5moMWQb4Sosg,5,58,"My review will be short & sweet (for me)-- like staffer Youanna who just may be the BEST employee I've ever had the pleasure of dealing with. Do you hear that, management?! She was INCREDIBLE-- professional, so sweet & friendly, & very helpful. 

NOT a poke fan, but was strangely craving it on my drive home. Here you get to choose 1-3 proteins. And on Tuesdays, you'll get an extra topping at no charge. My triple Ahi Bowl w/ Spring Mix, imitation crab, extra cucumber, carrots, some type of green bean, light corn, garlic sauce (& probably other fresh ingredients I've forgotten) is DELICIOUSLY fresh! It is REALLY good. See pic...

Lots of inside tables within this Hawaiian-themed eatery, as well as two outside tables in front. Endless parking. 

I enjoyed my free sample of Dole Whip (I sampled a Pineapple/Vanilla swirl). It's vegan friendly, gluten & dairy free, & something else I can't recall because I was too busy sampling:) 

Service was phenomenal! And my Ahi poke bowl actually begs me to return. Prices could have been lower, but they seemed quite standard for poke establishments. (The $1 extra for the guacamole was well worth the upcharge-- great guac!)  

Join the Rewards card program-- link your debit/credit card for automatic points each time you make a purchase; you'll save on a future purchase.","[{""_id"":{""$oid"":""63540c1cf54dc13e8c0e151c""},""stars"":""5"",""categories"":""Gluten-Free, Poke, Food, Restaurants, Hawaiian"",""business_id"":""hTyJhpH7Bl5moMWQb4Sosg"",""name"":""Island Fin Poké""}]"
